CustomerID,SignupDate,Gender,AgeBand,Segment,Tier,City,State,Region,PreferredChannel,ActivityWeight
500001,2022-03-20,Male,35-44,Young Professional,Tier-1,Hyderabad,Telangana,South,Flipkart,8.3345
500002,2021-10-19,Male,18-24,Student,Tier-1,Pune,Maharashtra,West,Flipkart,0.644
500003,2023-10-10,Female,45+,Family Buyer,Tier-3,Raipur,Chhattisgarh,Central,Amazon India,0.3899
500004,2021-05-24,Female,18-24,Gamer,Tier-2,Nagpur,Maharashtra,West,Amazon India,0.4533
500005,2020-06-01,Female,25-34,Working Professional,Tier-3,Varanasi,Uttar Pradesh,North,Local Multi-brand Retail,0.8344
500006,2022-05-11,Male,35-44,Working Professional,Tier-2,Chandigarh,Chandigarh,North,Flipkart,1.2157
500007,2023-09-05,Female,25-34,Young Professional,Tier-2,Indore,Madhya Pradesh,Central,Local Multi-brand Retail,4.5
500008,2022-07-23,Male,18-24,Gift Buyer,Tier-3,Dehradun,Uttarakhand,North,Flipkart,0.2516
500009,2023-06-16,Female,25-34,Working Professional,Tier-1,Hyderabad,Telangana,South,Croma,0.7884
500010,2022-07-31,Male,25-34,Gift Buyer,Tier-2,Lucknow,Uttar Pradesh,North,Local Multi-brand Retail,0.49
500011,2023-03-09,Male,35-44,Gift Buyer,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.6139
500012,2024-12-20,Male,18-24,Student,Tier-2,Nagpur,Maharashtra,West,Croma,0.7602
500013,2023-01-11,Female,18-24,Student,Tier-1,Bengaluru,Karnataka,South,Flipkart,1.9106
500014,2020-05-17,Female,18-24,Young Professional,Tier-3,Kota,Rajasthan,North,Vijay Sales,2.039
500015,2019-11-22,Male,18-24,Young Professional,Tier-2,Vadodara,Gujarat,West,Amazon India,0.952
500016,2019-08-06,Female,45+,Working Professional,Tier-3,Trichy,Tamil Nadu,South,Amazon India,0.4938
500017,2024-02-14,Male,25-34,Student,Tier-3,Varanasi,Uttar Pradesh,North,boAt Official Website,0.3401
500018,2020-03-08,Male,18-24,Young Professional,Tier-1,Bengaluru,Karnataka,South,Croma,1.8117
500019,2020-07-21,Female,45+,Family Buyer,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,2.2835
500020,2022-12-07,Male,18-24,Young Professional,Tier-1,Delhi,Delhi,North,Flipkart,1.9045
500021,2020-07-12,Female,35-44,Young Professional,Tier-2,Lucknow,Uttar Pradesh,North,Flipkart,0.6171
500022,2023-12-09,Male,35-44,Working Professional,Tier-3,Dehradun,Uttarakhand,North,Amazon India,0.2196
500023,2024-06-06,Male,25-34,Working Professional,Tier-3,Rajkot,Gujarat,West,Amazon India,0.3302
500024,2021-10-13,Female,18-24,Student,Tier-1,Hyderabad,Telangana,South,Flipkart,0.3768
500025,2019-03-22,Female,18-24,Young Professional,Tier-1,Mumbai,Maharashtra,West,Flipkart,1.4287
500026,2023-11-20,Male,25-34,Young Professional,Tier-2,Patna,Bihar,East,Amazon India,0.784
500027,2021-11-07,Male,35-44,Working Professional,Tier-2,Nagpur,Maharashtra,West,Flipkart,0.871
500028,2024-12-31,Male,25-34,Gift Buyer,Tier-3,Trichy,Tamil Nadu,South,Local Multi-brand Retail,0.2816
500029,2021-05-08,Female,18-24,Student,Tier-1,Mumbai,Maharashtra,West,Flipkart,0.6792
500030,2022-11-28,Male,25-34,Young Professional,Tier-3,Varanasi,Uttar Pradesh,North,Amazon India,2.9385
500031,2023-07-05,Female,18-24,Student,Tier-2,Surat,Gujarat,West,Amazon India,1.408
500032,2024-01-09,Female,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Flipkart,0.9726
500033,2020-08-05,Female,25-34,Student,Tier-1,Bengaluru,Karnataka,South,Flipkart,1.5421
500034,2020-02-02,Female,35-44,Gift Buyer,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,0.6333
500035,2020-12-09,Female,25-34,Young Professional,Tier-3,Dhanbad,Jharkhand,East,Flipkart,0.8628
500036,2023-10-23,Male,25-34,Working Professional,Tier-1,Bengaluru,Karnataka,South,boAt Official Website,1.045
500037,2024-05-17,Female,18-24,Student,Tier-1,Hyderabad,Telangana,South,Reliance Digital,0.2844
500038,2024-08-23,Female,18-24,Student,Tier-2,Nagpur,Maharashtra,West,Reliance Digital,0.2553
500039,2022-08-07,Male,25-34,Young Professional,Tier-1,Delhi,Delhi,North,boAt Official Website,2.1898
500040,2021-10-06,Female,18-24,Student,Tier-3,Siliguri,West Bengal,East,Amazon India,0.3429
500041,2019-05-19,Male,25-34,Young Professional,Tier-3,Gwalior,Madhya Pradesh,Central,Croma,1.0186
500042,2019-10-18,Male,18-24,Young Professional,Tier-3,Jodhpur,Rajasthan,North,Reliance Digital,1.8135
500043,2023-05-26,Male,45+,Young Professional,Tier-2,Bhopal,Madhya Pradesh,Central,Vijay Sales,0.3568
500044,2024-09-27,Male,25-34,Young Professional,Tier-3,Siliguri,West Bengal,East,Local Multi-brand Retail,0.5591
500045,2023-08-21,Male,35-44,Family Buyer,Tier-1,Pune,Maharashtra,West,Vijay Sales,2.1834
500046,2019-09-21,Male,18-24,Student,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.519
500047,2022-09-14,Male,18-24,Young Professional,Tier-1,Bengaluru,Karnataka,South,boAt Official Website,0.7439
500048,2019-09-14,Female,18-24,Student,Tier-2,Coimbatore,Tamil Nadu,South,Amazon India,0.1334
500049,2021-01-31,Female,35-44,Working Professional,Tier-2,Lucknow,Uttar Pradesh,North,Croma,2.0665
500050,2021-04-01,Female,25-34,Working Professional,Tier-3,Bareilly,Uttar Pradesh,North,Flipkart,1.5758
500051,2021-03-29,Male,18-24,Young Professional,Tier-1,Chennai,Tamil Nadu,South,boAt Official Website,2.1526
500052,2022-05-13,Male,18-24,Student,Tier-3,Rajkot,Gujarat,West,Amazon India,0.5589
500053,2022-06-22,Male,45+,Working Professional,Tier-2,Surat,Gujarat,West,Flipkart,0.533
500054,2023-07-16,Female,18-24,Student,Tier-1,Kolkata,West Bengal,East,Flipkart,1.2308
500055,2021-09-20,Male,25-34,Young Professional,Tier-2,Bhopal,Madhya Pradesh,Central,Flipkart,1.8264
500056,2021-12-09,Male,18-24,Young Professional,Tier-3,Jodhpur,Rajasthan,North,Flipkart,0.2851
500057,2020-11-08,Female,45+,Family Buyer,Tier-2,Kochi,Kerala,South,Flipkart,0.8761
500058,2024-08-03,Male,45+,Family Buyer,Tier-3,Jabalpur,Madhya Pradesh,Central,Amazon India,0.6481
500059,2019-06-22,Male,45+,Gamer,Tier-1,Hyderabad,Telangana,South,Flipkart,2.0889
500060,2022-03-05,Male,45+,Family Buyer,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,1.031
500061,2022-02-24,Male,18-24,Student,Tier-1,Delhi,Delhi,North,Flipkart,0.3118
500062,2019-07-11,Female,25-34,Young Professional,Tier-1,Mumbai,Maharashtra,West,boAt Official Website,1.4123
500063,2024-10-29,Male,25-34,Working Professional,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,0.3181
500064,2024-10-31,Male,25-34,Working Professional,Tier-2,Surat,Gujarat,West,Flipkart,0.6256
500065,2020-03-14,Male,35-44,Working Professional,Tier-1,Pune,Maharashtra,West,Flipkart,0.747
500066,2020-05-29,Male,35-44,Working Professional,Tier-3,Varanasi,Uttar Pradesh,North,Local Multi-brand Retail,1.2106
500067,2023-03-01,Male,25-34,Young Professional,Tier-1,Mumbai,Maharashtra,West,Amazon India,1.4523
500068,2021-06-21,Female,25-34,Young Professional,Tier-3,Raipur,Chhattisgarh,Central,Croma,1.5392
500069,2023-03-18,Male,18-24,Student,Tier-2,Indore,Madhya Pradesh,Central,Amazon India,2.928
500070,2021-03-08,Female,25-34,Young Professional,Tier-2,Surat,Gujarat,West,Vijay Sales,0.46
500071,2024-11-08,Female,18-24,Student,Tier-1,Bengaluru,Karnataka,South,boAt Official Website,0.2144
500072,2020-08-01,Female,18-24,Gift Buyer,Tier-2,Bhopal,Madhya Pradesh,Central,Flipkart,0.1505
500073,2019-04-08,Male,18-24,Gamer,Tier-3,Gwalior,Madhya Pradesh,Central,Flipkart,0.6264
500074,2021-11-17,Male,18-24,Student,Tier-1,Chennai,Tamil Nadu,South,Reliance Digital,1.5814
500075,2019-04-24,Female,18-24,Student,Tier-2,Vadodara,Gujarat,West,Croma,1.1804
500076,2022-08-23,Male,45+,Family Buyer,Tier-2,Coimbatore,Tamil Nadu,South,Local Multi-brand Retail,1.6168
500077,2020-09-09,Male,25-34,Young Professional,Tier-2,Surat,Gujarat,West,Flipkart,0.5085
500078,2022-12-22,Female,35-44,Family Buyer,Tier-2,Patna,Bihar,East,Reliance Digital,0.5109
500079,2019-05-04,Female,25-34,Young Professional,Tier-2,Kochi,Kerala,South,Amazon India,0.6431
500080,2022-07-21,Male,35-44,Family Buyer,Tier-1,Pune,Maharashtra,West,Amazon India,0.797
500081,2022-01-08,Male,35-44,Family Buyer,Tier-1,Hyderabad,Telangana,South,boAt Official Website,1.0577
500082,2023-02-10,Male,35-44,Family Buyer,Tier-1,Mumbai,Maharashtra,West,Amazon India,1.5072
500083,2024-04-28,Female,35-44,Young Professional,Tier-3,Varanasi,Uttar Pradesh,North,Amazon India,0.6244
500084,2021-05-28,Female,25-34,Young Professional,Tier-2,Jaipur,Rajasthan,North,Flipkart,0.8291
500085,2021-05-19,Female,25-34,Young Professional,Tier-1,Kolkata,West Bengal,East,Amazon India,0.2641
500086,2022-03-16,Male,18-24,Student,Tier-2,Surat,Gujarat,West,Reliance Digital,0.8633
500087,2023-03-26,Male,35-44,Young Professional,Tier-3,Siliguri,West Bengal,East,Flipkart,1.0758
500088,2020-01-19,Female,25-34,Working Professional,Tier-2,Coimbatore,Tamil Nadu,South,Flipkart,1.0618
500089,2019-01-03,Male,35-44,Family Buyer,Tier-2,Surat,Gujarat,West,Flipkart,1.5494
500090,2019-12-27,Male,25-34,Young Professional,Tier-1,Mumbai,Maharashtra,West,Amazon India,0.9029
500091,2020-09-19,Male,25-34,Gamer,Tier-2,Jaipur,Rajasthan,North,Amazon India,0.5002
500092,2022-10-12,Male,25-34,Gift Buyer,Tier-2,Kochi,Kerala,South,boAt Official Website,0.4798
500093,2024-05-30,Male,25-34,Young Professional,Tier-3,Jabalpur,Madhya Pradesh,Central,Amazon India,0.9998
500094,2022-10-04,Male,45+,Family Buyer,Tier-1,Hyderabad,Telangana,South,Amazon India,0.3654
500095,2020-09-04,Male,35-44,Family Buyer,Tier-2,Surat,Gujarat,West,Amazon India,0.5941
500096,2020-03-05,Female,18-24,Student,Tier-2,Vadodara,Gujarat,West,Amazon India,1.4815
500097,2022-09-28,Male,18-24,Gamer,Tier-1,Bengaluru,Karnataka,South,Amazon India,1.0292
500098,2023-10-09,Male,35-44,Young Professional,Tier-1,Mumbai,Maharashtra,West,Amazon India,1.3696
500099,2022-08-03,Male,18-24,Gamer,Tier-3,Agra,Uttar Pradesh,North,Amazon India,2.6053
500100,2022-06-30,Male,18-24,Young Professional,Tier-1,Kolkata,West Bengal,East,boAt Official Website,1.4215
500101,2019-05-09,Male,25-34,Gift Buyer,Tier-1,Pune,Maharashtra,West,Amazon India,0.5465
500102,2021-10-22,Female,18-24,Gamer,Tier-1,Bengaluru,Karnataka,South,Amazon India,0.7202
500103,2019-05-18,Male,18-24,Gamer,Tier-2,Lucknow,Uttar Pradesh,North,Amazon India,1.4359
500104,2019-09-15,Male,25-34,Working Professional,Tier-3,Raipur,Chhattisgarh,Central,Reliance Digital,1.4642
500105,2019-04-07,Female,35-44,Working Professional,Tier-2,Chandigarh,Chandigarh,North,Vijay Sales,0.4443
500106,2024-05-26,Female,35-44,Family Buyer,Tier-3,Trichy,Tamil Nadu,South,Flipkart,1.224
500107,2024-11-28,Male,25-34,Student,Tier-1,Mumbai,Maharashtra,West,Flipkart,0.169
500108,2021-06-18,Female,18-24,Student,Tier-2,Surat,Gujarat,West,Amazon India,0.9187
500109,2024-04-10,Female,25-34,Young Professional,Tier-2,Jaipur,Rajasthan,North,boAt Official Website,0.6159
500110,2023-07-11,Male,45+,Family Buyer,Tier-2,Chandigarh,Chandigarh,North,Amazon India,0.3064
500111,2024-10-11,Female,35-44,Family Buyer,Tier-2,Patna,Bihar,East,Amazon India,0.9656
500112,2024-05-17,Female,25-34,Young Professional,Tier-2,Nagpur,Maharashtra,West,Flipkart,0.2439
500113,2024-01-28,Female,25-34,Family Buyer,Tier-2,Ludhiana,Punjab,North,boAt Official Website,1.3117
500114,2024-05-02,Female,18-24,Student,Tier-1,Ahmedabad,Gujarat,West,Flipkart,0.3951
500115,2024-09-08,Male,45+,Working Professional,Tier-3,Trichy,Tamil Nadu,South,Flipkart,0.2798
500116,2022-08-20,Female,18-24,Gift Buyer,Tier-2,Surat,Gujarat,West,Croma,1.1154
500117,2024-12-17,Male,35-44,Young Professional,Tier-1,Pune,Maharashtra,West,Flipkart,1.9066
500118,2021-02-11,Female,25-34,Family Buyer,Tier-3,Bareilly,Uttar Pradesh,North,Flipkart,0.5042
500119,2020-11-05,Male,25-34,Working Professional,Tier-3,Bareilly,Uttar Pradesh,North,boAt Official Website,0.9932
500120,2022-09-21,Male,25-34,Young Professional,Tier-2,Lucknow,Uttar Pradesh,North,Flipkart,0.8045
500121,2019-06-21,Male,18-24,Young Professional,Tier-1,Hyderabad,Telangana,South,Amazon India,1.4682
500122,2020-02-08,Male,18-24,Gamer,Tier-3,Gwalior,Madhya Pradesh,Central,Amazon India,0.9245
500123,2021-08-04,Male,35-44,Family Buyer,Tier-2,Nagpur,Maharashtra,West,Amazon India,0.97
500124,2024-12-17,Male,18-24,Student,Tier-2,Chandigarh,Chandigarh,North,Amazon India,1.344
500125,2022-10-04,Male,25-34,Young Professional,Tier-2,Patna,Bihar,East,boAt Official Website,1.7038
500126,2023-02-02,Male,18-24,Student,Tier-3,Agra,Uttar Pradesh,North,boAt Official Website,0.6457
500127,2024-07-11,Male,35-44,Young Professional,Tier-2,Lucknow,Uttar Pradesh,North,boAt Official Website,1.1184
500128,2019-05-30,Male,18-24,Student,Tier-2,Bhopal,Madhya Pradesh,Central,Amazon India,0.4451
500129,2020-12-20,Female,35-44,Family Buyer,Tier-3,Varanasi,Uttar Pradesh,North,Flipkart,0.5131
500130,2023-06-16,Female,25-34,Gift Buyer,Tier-1,Hyderabad,Telangana,South,Reliance Digital,1.1555
500131,2023-07-14,Male,25-34,Young Professional,Tier-3,Kota,Rajasthan,North,Croma,0.9198
500132,2020-12-16,Male,45+,Family Buyer,Tier-3,Asansol,West Bengal,East,Vijay Sales,0.4486
500133,2020-08-27,Male,18-24,Student,Tier-2,Kochi,Kerala,South,Amazon India,0.8256
500134,2023-05-29,Female,35-44,Young Professional,Tier-3,Siliguri,West Bengal,East,Amazon India,1.0378
500135,2022-01-29,Male,45+,Family Buyer,Tier-1,Pune,Maharashtra,West,Reliance Digital,0.6013
500136,2019-08-20,Male,25-34,Young Professional,Tier-1,Hyderabad,Telangana,South,Reliance Digital,0.7139
