ProductID,Brand,Category,SubCategory,ProductName,HeroFlag,LaunchYear,MRP,CostPrice,PopularityWeight,DemandCluster
1001,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 141,1,2024,9900,4445.96,0.138664495,Hero
1002,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 161,1,2025,6470,3185.78,0.061199782,Hero
1003,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 131,1,2025,1490,770.25,0.037928197,Hero
1004,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 181 Pro,1,2023,9050,3979.68,0.027010616,Hero
1005,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 311 Pro,0,2022,7670,3975.72,0.005930791,Core
1006,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes Alpha,0,2024,8910,4493.72,0.004782762,Core
1007,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes 148,0,2024,5940,2567.67,0.003987324,Core
1008,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes Supreme,0,2023,7970,3714.45,0.00340605,Core
1009,boAt,True Wireless Earbuds,Airdopes,boAt Nirvana Ion ANC,0,2022,10950,5327.54,0.002964088,Core
1010,boAt,True Wireless Earbuds,Airdopes,boAt Nirvana Ivy,0,2024,1680,811.74,0.002617564,LongTail
1011,boAt,True Wireless Earbuds,Airdopes,boAt Nirvana Zenith,0,2025,5190,2237.07,0.002339127,LongTail
1012,boAt,True Wireless Earbuds,Airdopes,boAt Airdopes Loop,0,2025,7370,3613.81,0.002110879,LongTail
1013,boAt,True Wireless Earbuds,Airdopes,boAt True Series 13,0,2022,6080,2995.25,0.001920632,LongTail
1014,boAt,True Wireless Earbuds,Airdopes,boAt True Series 14,0,2021,10000,5064.59,0.001759811,LongTail
1015,boAt,True Wireless Earbuds,Airdopes,boAt True Series 15,0,2024,2850,1468.37,0.001622219,LongTail
1016,boAt,True Wireless Earbuds,Airdopes,boAt True Series 16,0,2024,6480,2956.76,0.001503265,LongTail
1017,boAt,True Wireless Earbuds,Airdopes,boAt True Series 17,0,2025,4110,2016.74,0.001399483,LongTail
1018,boAt,True Wireless Earbuds,Airdopes,boAt True Series 18,0,2023,5170,2309.73,0.001308205,LongTail
1019,boAt,True Wireless Earbuds,Airdopes,boAt True Series 19,0,2022,4580,2368.73,0.001227349,LongTail
1020,boAt,True Wireless Earbuds,Airdopes,boAt True Series 20,0,2024,7100,3131.28,0.001155266,LongTail
1021,boAt,True Wireless Earbuds,Airdopes,boAt True Series 21,0,2023,2890,1298.67,0.001090633,LongTail
1022,boAt,True Wireless Earbuds,Airdopes,boAt True Series 22,0,2021,4670,2133.69,0.001032377,LongTail
1023,boAt,True Wireless Earbuds,Airdopes,boAt True Series 23,0,2022,4100,1990.72,0.000979622,LongTail
1024,boAt,True Wireless Earbuds,Airdopes,boAt True Series 24,0,2024,6220,3186.43,0.00093164,LongTail
1025,boAt,True Wireless Earbuds,Airdopes,boAt True Series 25,0,2021,3870,1772.12,0.000887826,LongTail
1026,boAt,True Wireless Earbuds,Airdopes,boAt True Series 26,0,2024,6740,3259.69,0.000847674,LongTail
1027,boAt,True Wireless Earbuds,Airdopes,boAt True Series 27,0,2023,3460,1704.54,0.000810752,LongTail
1028,boAt,True Wireless Earbuds,Airdopes,boAt True Series 28,0,2023,4550,2115.1,0.000776695,LongTail
1029,boAt,Neckbands,Neckbands,boAt Rockerz 255 Pro+,1,2022,2010,897.84,0.068411504,Hero
1030,boAt,Neckbands,Neckbands,boAt Rockerz 110,1,2024,4490,2069.53,0.03019352,Hero
1031,boAt,Neckbands,Neckbands,boAt Rockerz 330,1,2024,1160,515.69,0.018712252,Hero
1032,boAt,Neckbands,Neckbands,boAt Rockerz 245 V2,1,2022,3430,1409.02,0.013325955,Hero
1033,boAt,Neckbands,Neckbands,boAt Rockerz 450 ANC,0,2023,2240,1071.87,0.002926015,Core
1034,boAt,Neckbands,Neckbands,boAt Rockerz 650 Pro,0,2021,2590,1152.18,0.002359623,Core
1035,boAt,Neckbands,Neckbands,boAt Neckbands Series 7,0,2023,3480,1602.18,0.001967186,Core
1036,boAt,Neckbands,Neckbands,boAt Neckbands Series 8,0,2024,4660,2122.12,0.001680409,Core
1037,boAt,Neckbands,Neckbands,boAt Neckbands Series 9,0,2023,3390,1424.03,0.001462362,LongTail
1038,boAt,Neckbands,Neckbands,boAt Neckbands Series 10,0,2024,1490,637.69,0.001291401,LongTail
1039,boAt,Neckbands,Neckbands,boAt Neckbands Series 11,0,2022,4080,1825.39,0.001154032,LongTail
1040,boAt,Neckbands,Neckbands,boAt Neckbands Series 12,0,2023,1720,778.53,0.001041423,LongTail
1041,boAt,Neckbands,Neckbands,boAt Neckbands Series 13,0,2025,2930,1369.7,0.000947563,LongTail
1042,boAt,Neckbands,Neckbands,boAt Neckbands Series 14,0,2023,2810,1199.71,0.00086822,LongTail
1043,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Wave Sigma 3,1,2024,6530,3207.42,0.054729203,Hero
1044,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Wave Call 2,1,2022,4200,2183.15,0.024154816,Hero
1045,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Wave Electra,1,2023,11600,5606.89,0.014969802,Hero
1046,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Lunar Prime,1,2025,10750,5444.38,0.010660764,Hero
1047,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Lunar Discovery,0,2024,7290,4064.48,0.002340812,Core
1048,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Ultima Chronos,0,2023,2320,1295.71,0.001887698,Core
1049,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Enigma X600,0,2022,5780,2885.4,0.001573749,Core
1050,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Wave Fury,0,2023,4610,2345.77,0.001344327,Core
1051,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 9,0,2025,8260,4582.41,0.00116989,LongTail
1052,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 10,0,2025,5300,2809.38,0.001033121,LongTail
1053,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 11,0,2025,4230,2293.89,0.000923225,LongTail
1054,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 12,0,2022,2870,1432.85,0.000833139,LongTail
1055,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 13,0,2022,2580,1333.21,0.00075805,LongTail
1056,boAt,Smart Watches,Wave / Lunar / Ultima,boAt Smart Series 14,0,2025,5260,2640.91,0.000694576,LongTail
1057,boAt,Headphones,Rockerz,boAt Rockerz 450,1,2023,8260,4034.04,0.03751441,Hero
1058,boAt,Headphones,Rockerz,boAt Rockerz 551 ANC,1,2024,1700,786.47,0.016557041,Hero
1059,boAt,Headphones,Rockerz,boAt Rockerz 650 Pro,1,2023,5910,2927.52,0.010261126,Hero
1060,boAt,Headphones,Rockerz,boAt Rockerz 610,1,2021,5190,2401.55,0.007307475,Hero
1061,boAt,Headphones,Rockerz,boAt Rockerz 660,0,2024,5060,2675.05,0.001604521,Core
1062,boAt,Headphones,Rockerz,boAt Headphones Series 6,0,2023,1490,687.61,0.001293932,Core
1063,boAt,Headphones,Rockerz,boAt Headphones Series 7,0,2022,6420,3018.66,0.001078734,Core
1064,boAt,Headphones,Rockerz,boAt Headphones Series 8,0,2024,1160,536.34,0.000921476,Core
1065,boAt,Headphones,Rockerz,boAt Headphones Series 9,0,2023,2960,1429.56,0.000801907,LongTail
1066,boAt,Headphones,Rockerz,boAt Headphones Series 10,0,2023,4500,2057.45,0.000708158,LongTail
1067,boAt,Wireless Speakers,Stone,boAt Stone 180,1,2023,9710,4779.83,0.042203711,Hero
1068,boAt,Wireless Speakers,Stone,boAt Stone 193 Pro,1,2023,6290,3585.44,0.018626671,Hero
1069,boAt,Wireless Speakers,Stone,boAt Stone 352 Pro,1,2023,6020,2949.95,0.011543767,Hero
1070,boAt,Wireless Speakers,Stone,boAt Stone 260,1,2023,6050,3473.76,0.008220909,Hero
1071,boAt,Wireless Speakers,Stone,boAt Stone 650,0,2024,4930,2409.18,0.001805086,Core
1072,boAt,Wireless Speakers,Stone,boAt Stone 1000,0,2023,1620,877.87,0.001455674,Core
1073,boAt,Wireless Speakers,Stone,boAt Wireless Series 7,0,2022,8920,4509.76,0.001213576,Core
1074,boAt,Wireless Speakers,Stone,boAt Wireless Series 8,0,2023,3290,1878.03,0.00103666,Core
1075,boAt,Wireless Speakers,Stone,boAt Wireless Series 9,0,2024,4780,2387.27,0.000902145,LongTail
1076,boAt,Wireless Speakers,Stone,boAt Wireless Series 10,0,2023,6320,3329.14,0.000796678,LongTail
